filename,version,sha256,source,remote_metadata_status,live_effect_status,notes
20260316_layer1_mvp.sql,20260316,85e2f1580a35dc12e82ae82dfdc89acf958d8efc4a7d80bfdec846be6f6937ff,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Shares a version with two other files; original Firebase-era foundation."
20260316_match_finalization_rpc.sql,20260316,f5064a9b3edeab23f456c3f834c0f654263a6be3d0f93a2dd566e081b134d50f,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Duplicate version; early result finalization RPC."
20260316_profile_integrity_guards.sql,20260316,7875e0e7a34de45ec9bc79debd3d21f1f2dc33783d127487a2cf3813f10b4a82,active_history,RECORDED_AMBIGUOUS,UNKNOWN,"Duplicate version; historical profile guards."
20260317_accept_challenge_match_trigger_fix.sql,20260317,e48383a91c2a7b497c9a1f24c5e98de6fe45ff307ea5bafdff80c1dc27e0e0af,active_history,RECORDED_AMBIGUOUS,LIVE_EFFECT_PRESENT,"Remote metadata names this migration, but the version is shared."
20260317_expand_sports_catalog_for_launch.sql,20260317,2d479755078bb3457cf9010432d2cb399ffcad5fe2b0bd9a9168465d25345d8d,active_history,RECORDED_AMBIGUOUS,LIVE_EFFECT_PRESENT,"Duplicate version; historical six-sport expansion."
20260317_layer1_launch_hardening.sql,20260317,dda4c572b9192b33cd520ccd2e03c4b58bb4975b9b59bedd944d671e43cd1d45,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Duplicate version; later auth and RLS work superseded parts."
20260317_layer1_service_alignment.sql,20260317,34fc48f41a564947e798caf8370c303177f82836e9ea871867531c315fa3f2bf,active_history,RECORDED_AMBIGUOUS,UNKNOWN,"Duplicate version; historical service alignment."
20260317_layer2_activity_events.sql,20260317,a62650c3ca4c136eb356ff91d2b8abbcb231f67a426314cb5b83911e3474db7d,active_history,RECORDED_AMBIGUOUS,LIVE_EFFECT_PRESENT,"Duplicate version; activity infrastructure remains in evolved form."
20260317_layer2_activity_feed_infrastructure.sql,20260317,cfbd6e4067dc837889fca7f1080a5f4a7aaf8f28ca36c995565750f085f38906,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Duplicate version; obsolete activity feed interfaces excluded from baseline."
20260317_layer2_matchmaking_ratings.sql,20260317,929e320a3a4871faf69e1ea2e4d2c418466386eac20fdb93958db65b7a8d2b07,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Duplicate version; global rating design replaced by per-sport ratings."
20260317_local_dev_anon_rls_bypass.sql,20260317,94a1d8ac02f4e197caaed88f79a226a009dc1070393cfa554f8120c2b3dc73c4,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Duplicate version; local-only bypass is not canonical security posture."
20260318_add_profile_username.sql,20260318,e19707bf61314a31be4cfdb2c3fe136886d2565229859c22831ad86d9329b8b9,active_history,RECORDED_AMBIGUOUS,LIVE_EFFECT_PRESENT,"Remote metadata names this migration, but the version is shared."
20260318_layer2_rating_hardening.sql,20260318,b8c7732eaf577b268f9a400a403abeded6fbbcd3c0d4acf2cc7f2dc309ee002d,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Duplicate version; global rating hardening is historical only."
20260319_avatar_storage_mvp.sql,20260319,1377ac557aeaff57c5548c45e6bd257bb0c9a5e787e72f7fdd1da4afb19ff3b8,active_history,RECORDED_AMBIGUOUS,LIVE_EFFECT_PRESENT,"Remote metadata names this migration, but the version is shared; baseline tightens writes."
20260319_submit_match_result_rpc.sql,20260319,23b20b3a1c22224fab6cd1aabcbd83bafac52558aa3f6b09913bf88c9d45aa0b,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Duplicate version; win-only result RPC excluded."
20260325_public_rls_hardening.sql,20260325,d1318d3a00c6928d4a840728b67217693c4725d7cc81be4161c9238cbebb8e4b,active_history,RECORDED,LIVE_EFFECT_PRESENT,"Recorded singleton version; later canonical Edge ownership further narrows grants."
20260326_activity_feed_read_rpc.sql,20260326,81441a872ebf2b5f2da762d992a6c0bcb14ac85f1c0bbbf072197779255eb6ed,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Remote metadata names this migration, but the version is shared; Edge read path replaces RPC."
20260326_add_profile_availability_status.sql,20260326,4ec5fd885fa8257b0351a44bfa241dad21a013167d8c8ff852811ebe083ec87b,active_history,RECORDED_AMBIGUOUS,LIVE_EFFECT_PRESENT,"Duplicate version; availability column remains canonical."
20260326_match_result_production_hardening.sql,20260326,ed9a287d74321a3fc7de04a146e9fe89eeced613bd020102abd6e9417c651614,active_history,RECORDED_AMBIGUOUS,LIVE_EFFECT_PRESENT,"Duplicate version; evolved result hardening remains canonical."
20260401_open_challenge_rls_alignment.sql,20260401,597736fc0b8147db9a1f53318870d1ee373d3d5070fdcc5627b0cc6ff244ff28,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Remote metadata names this migration, but version is shared; browser mutation path excluded."
20260401_open_challenge_rpc_signature_repair.sql,20260401,2da85ea6eddd56fec1eb57ca4cbf731e7dddff75741ba57d7b587c1636fb6bf9,active_history,RECORDED_AMBIGUOUS,SUPERSEDED,"Duplicate version; legacy open-challenge RPC excluded."
20260401_open_challenge_support.sql,20260401,c139315d3b5a2468f95396c074901cca00aa728f0c34fe98db603f2729e8c99b,active_history,RECORDED_AMBIGUOUS,LIVE_EFFECT_PRESENT,"Duplicate version; open-challenge table shape remains in corrected form."
20260403_add_challenge_stake_metadata.sql,20260403,2ec7e5c06b7dabd17c2776246c3aba333bcfc2bfe7ef0b6d3d709258877d3db1,active_history,RECORDED,LIVE_EFFECT_PRESENT,"Recorded singleton version; stake fields remain canonical."
20260407_live_sessions.sql,20260407,bd9c293561289b0db141edbfb13952c30a4338b5eb666d6ea3d5d6673b4371da,active_history,NOT_RECORDED,LIVE_EFFECT_PRESENT,"Duplicate local version; retained as future/inactive schema only."
20260407_play_locations.sql,20260407,752af82306320c4272c5d94da18a6c805f14af8c8cc5af69a3539ab68b7d80d6,active_history,NOT_RECORDED,LIVE_EFFECT_PRESENT,"Duplicate local version; schema retained without location rows."
20260407_play_style_tags.sql,20260407,154df49038adf3576f8eeedc62dc7c5f76e35970e7761c35e13919abd472fcca,active_history,NOT_RECORDED,NOT_PRESENT_DEFERRED,"Duplicate local version; unfinished play-style tags excluded from baseline."
20260407_silent_result_confirmation.sql,20260407,4d435841a92bf041ea4b81b8b399b730207dfe3c626d8c6507fb463c6f4fb41c,active_history,NOT_RECORDED,LIVE_EFFECT_PRESENT,"Duplicate local version; evolved auto-confirm behavior remains server-only."
20260422_fix_auto_confirm_timestamp_comparison.sql,20260422,79822331e81d07784f628391ee0035392d92b60c22e49f837064e73af27d8bb1,active_history,NOT_RECORDED,LIVE_EFFECT_PRESENT,"Historical auto-confirm correction represented by final canonical definition."
20260423_fix_auto_confirm_enum_alignment.sql,20260423,d3b21528298417a31cf9a3805bde0da0503ab2d02bd5d3ab1b01ccdb3363ced1,active_history,NOT_RECORDED,LIVE_EFFECT_PRESENT,"Duplicate local version; represented by final canonical definition."
20260423_fix_auto_confirm_remove_status.sql,20260423,d201713e8b8936cfe46e4041e6c91ae6120dff7d467e5906b14337f820151cfb,active_history,NOT_RECORDED,LIVE_EFFECT_PRESENT,"Duplicate local version; represented by final canonical definition."
20260423_preserve_match_auto_confirm_columns.sql,20260423,0a515e0426666bc0943744cb0b579fd2efc621b20a9c74b6fda3897ee0dd9567,active_history,NOT_RECORDED,SUPERSEDED,"Duplicate local version; legacy compatibility flags are not canonical fields."
20260429_ensure_activity_events.sql,20260429,7a540610ce612f3c739c90403b005c868906b39520e8b2d3b05d7aea4b2b0fd1,active_history,NOT_RECORDED,LIVE_EFFECT_PRESENT,"Final trigger-generated activity behavior represented directly in baseline."
20260817_loop2_phase3_match_result_hardening.sql,20260817,fe4a76ef1d8a186b80c0ee2fd627c76936d79896079e73a5afc64d40c98ba8cf,active_history,RECORDED,LIVE_EFFECT_PRESENT,"Recorded canonical result hardening foundation, later extended for draws."
20260823_migrate_firebase_to_supabase_auth.sql,20260823,252550e80434a3fc80a87b4ac08a059b411e8a258d84e0e6bc74913e96361b2a,active_history,RECORDED,LIVE_EFFECT_PRESENT,"Recorded Supabase Auth migration; Firebase compatibility is not baselined."
20260826120000_drop_firebase_identity.sql,20260826120000,1f8287359160cc00d2ea2e02aa75dcee196cc4e52a8dca46b84c4617b9841daa,active_history,RECORDED,LIVE_EFFECT_PRESENT,"Recorded removal of Firebase identity."
20260902051619_loop3_player_record_draws.sql,20260902051619,1b1c9fed9cd7949eaaf94272339b9688641bc3e737d1e24c0cf184e24e091844,active_history,LIVE_UNRECORDED,LIVE_EFFECT_CONFIRMED,"Applied by isolated direct SQL; absent from remote migration metadata."
20260906023712_fix_submit_match_result_v2_loser_variable.sql,20260906023712,2e1c170d540dbf33263b7d871850c7c9dbea3d6c513f12f3abadc4fc5ea33ca4,active_history,LIVE_UNRECORDED,LIVE_EFFECT_CONFIRMED,"Applied by isolated direct SQL; resolves PL/pgSQL variable ambiguity."
20260908233948_loop3_2a_xp_backend_foundation.sql,20260908233948,6c82a298e603b0d754f12e3c4022d0fe9e725375595f645645801c3dd6b5914e,active_history,LIVE_UNRECORDED,LIVE_EFFECT_CONFIRMED,"Applied by isolated direct SQL; absent from remote migration metadata."
20260819_loop3_phase1_sport_ratings.sql,20260819,4676395f53ed2e727b100594a9ba13ac62312c5803179e75d8f719f85a600c44,recovered_git_blob,RECOVERED_GIT_BLOB,LIVE_EFFECT_CONFIRMED,"Recovered from Git blob 24583a9de1bc3e8ba756c4fd1b40c0e172323968; archive provenance only."
